epsilon sigma
0.0 0.0
0.0031774515415435856 1.3241572946800098
0.007632690314496565 1.8769627028448532
0.012710579645127867 2.398519561282736
0.01965255325402597 2.7954689602895897
0.02846634593072725 3.1295345203656986
0.03852543972278516 3.4011029809878863
0.05046408737218261 3.671511223179614
0.062387265442507306 3.8184722243707725
0.0730612750027072 3.9970685147657115
0.08749052488281794 4.142482558049593
0.10065900406849931 4.226946459786829
0.11382748325418066 4.311410361524061
0.12824899834475503 4.395100784307658
0.14705227170768684 4.4452222205033785
0.16774283371749454 4.555907058768929
0.1834173847129619 4.638824002598888
0.19846541775598284 4.722127685905665
0.21288693284655721 4.805818108689262
0.23107142304657893 4.918049904862087
0.24674984143681447 5.031828658942189
