epsilon sigma
0.0 0.0
0.7843137254901968 12.379237409249356
1.5686274509803937 24.900436365022188
2.1568627450980387 35.38463004249314
2.9411764705882355 46.15655786123972
3.5294117647058805 55.766115970197575
4.313725490196077 66.8295889784485
5.196078431372548 77.30806608357625
5.980392156862745 86.03917757579222
6.862745098039216 94.47683835438937
8.235294117647054 105.23733302844946
9.411764705882355 113.6692772347034
10.686274509803923 121.22468034832983
12.352941176470587 127.89782579698544
14.215686274509803 134.2756150079079
16.176470588235293 140.65149869471597
18.235294117647054 145.2762057203834
20.392156862745093 148.4412812744145
22.843137254901958 150.72600468758932
