epsilon sigma
0.0 0.0
0.39215686274509665 11.803769126698228
0.6862745098039191 24.33449570304316
1.2745098039215677 38.02568646506222
1.6666666666666679 50.262962327788216
2.0588235294117645 62.50023819051427
2.5490196078431353 77.35951523466525
3.0392156862745097 91.92724708931189
3.6274509803921546 109.11698012538346
4.313725490196077 128.34562396387125
5 144.65881590731527
5.882352941176471 160.09356123401741
6.666666666666664 174.94712170582517
7.6470588235294095 191.8376874559347
8.627450980392155 208.14516282703556
9.6078431372549 222.70336706111016
10.784313725490193 236.0915794889384
12.549019607843139 251.21762990910648
14.803921568627448 265.4595171401894
16.862745098039216 276.498218334953
20.098039215686274 284.01551096629123
