# Header: Project2::98168_Zugversuch_Mitte_02 cropped cleaned::All data::Grain Size   11/13/2007
# 
# Column 1-3:    right hand average orientation (phi1, PHI, phi2 in degrees)
# Column 4-6:    left hand average orientation (phi1, PHI, phi2 in degrees)
# Column 7:      length (in microns)
# Column 8:      trace angle (in degrees)
# Column 9-12:   x,y coordinates of endpoints (in microns)
# Column 13-14:  IDs of right hand and left hand grains
	4.073	0.703	2.983	0.900	0.813	5.039	0.0		0.0		0.00	0.80	0.23	0.63	3	1
	1.910	0.727	4.892	0.900	0.813	5.039	0.0		0.0		0.23	0.63	0.55	0.73	4	1
	0.012	0.777	0.581	0.900	0.813	5.039	0.0		0.0		0.55	0.73	0.60	1.00	2	1
	3.313	0.652	3.103	4.073	0.703	2.983	0.0		0.0		0.00	0.20	0.22	0.30	6	3
	1.910	0.727	4.892	4.073	0.703	2.983	0.0		0.0		0.22	0.30	0.23	0.63	4	3
	3.313	0.652	3.103	1.910	0.727	4.892	0.0		0.0		0.22	0.30	0.55	0.17	6	4
	1.910	0.727	4.892	4.694	0.380	1.246	0.0		0.0		0.78	0.45	0.55	0.17	4	5
	4.694	0.380	1.246	0.012	0.777	0.581	0.0		0.0		0.78	0.45	1.00	0.45	5	2
	0.012	0.777	0.581	1.910	0.727	4.892	0.0		0.0		0.78	0.45	0.55	0.73	2	4
	4.694	0.380	1.246	3.313	0.652	3.103	0.0		0.0		0.57	0.00	0.55	0.17	5	6
